Clé;Français;Pulaar (à corriger)
common.siteName;Nom du site;Goomu Fulo Wiɗto
common.siteSlogan;Slogan du site;Fedde Ɗemngal Pulaar
common.since;Depuis;Gila 2024
common.discover;Découvrir;Yiytu
common.readMore;Lire plus;Janngol goɗɗum
common.learnMore;En savoir plus;Anndude goɗɗum
common.search;Rechercher;Yiylo
common.submit;Envoyer;Neldu
common.contact;Contact;Jokkondiral
common.library;Bibliothèque;Defte-manti
nav.home;Accueil;Jaɓɓorgo
nav.institution;L'institution;Fedde ndee
nav.history;Histoire;Taariik
nav.missions;Missions;Golle
nav.organization;Organisation;Yuɓɓo
nav.statutes;Statuts;Sariyaaji
nav.immortals;Les érudits;Janngooɓe
nav.members;Membres;Terɗe
nav.becomeImmortal;Devenir membre;Wontude terɗe
nav.greenCoat;Habit vert;Comci e kaafaahi
nav.speeches;Discours;Haalaaji
nav.language;La langue Pulaar;Ɗemngal Pulaar
nav.frenchToday;Pulaar aujourd'hui;Pulaar hannde
nav.languageQuestions;Questions de langue;Naamne ɗemngal
nav.terminology;Terminologie;Helmere
nav.sayDontSay;Dire, Ne pas dire;Haalu, Woto haalu
nav.dictionary;Le Dictionnaire;Saggitorde
nav.ninthEdition;Première édition;Weccitaare gadane
nav.ninePrefaces;Préfaces;Deftere
nav.onlineDictionary;Dictionnaire en ligne;Saggitorde e internet
nav.prizes;Prix;Njeenaaje
nav.literaryPrizes;Prix littéraires;Njeenaaje binndol
nav.workPrizes;Prix de travail;Njeenaaje golle
nav.laureates;Lauréats;Jaaɓe
nav.news;Actualités;Kabaruuji
hero.title1;Événement 2025;Pottital 2025
hero.subtitle1;Découvrez les grands prix de cette session;Yiytu sakkeeji mawɗi ndee julotiral
hero.title2;Le Dictionnaire;Saggitorde
hero.subtitle2;Première édition du Dictionnaire Goomu Fulo Wiɗto;Weccitaare gadane Saggitorde Goomu Fulo Wiɗto
hero.title3;La langue Pulaar;Ɗemngal Pulaar
hero.subtitle3;Gardienne de la langue, Goomu Fulo Wiɗto protège le Pulaar;Doomtotooɗo ɗemngal, Goomu Fulo Wiɗto reeni Pulaar
hero.title4;Les érudits;Janngooɓe
hero.subtitle4;Membres dévoués pour la langue et la culture Pulaar;Terɗe golloowo ngam ɗemngal e pinal Pulaar
hero.consultDictionary;Consulter le Dictionnaire;Yeewtude Saggitorde
hero.scroll;Défiler;Tellu
features.sectionLabel;Nos missions;Golle amen
features.title;Au service de;E wallitorde 
features.titleHighlight;la langue Pulaar;ɗemngal Pulaar
features.description;Goomu Fulo Wiɗto accomplit trois grandes missions: rédiger le Dictionnaire, protéger la langue Pulaar, et décerner des prix littéraires.;Goomu Fulo Wiɗto ngollata golle tati mawɗe: winndude Saggitorde, reende ɗemngal Pulaar, e rokkude njeenaaje binndol.
features.institution.title;L'institution;Fedde ndee
features.institution.description;Créée pour la langue Pulaar, Goomu Fulo Wiɗto est une institution de gardiens de la langue.;Sosaa ngam ɗemngal Pulaar, Goomu Fulo Wiɗto ko fedde reentooɓe ɗemngal.
features.dictionary.title;Le Dictionnaire;Saggitorde
features.dictionary.description;Goomu Fulo Wiɗto construit le Dictionnaire, livre de référence de la langue Pulaar.;Goomu Fulo Wiɗto woni e mahde Saggitorde, deftere jogoore ɗemngal Pulaar.
features.prizes.title;Les Prix;Njeenaaje
features.prizes.description;Chaque année, Goomu Fulo Wiɗto décerne des prix littéraires.;Hitaande kala, Goomu Fulo Wiɗto hokkata njeenaaje binndol.
features.immortals.title;Les érudits;Janngooɓe
features.immortals.description;Membres élus qui composent Goomu Fulo Wiɗto, gardiens de la langue et culture.;Terɗe cuɓaaɗe mbana Goomu Fulo Wiɗto, reentooɓe ɗemngal e pinal.
news.sectionLabel;Restez informé;Heɓu kabaruuji
news.title;Actualités;Kabaruuji 
news.titleHighlight;Goomu Fulo Wiɗto;Goomu Fulo Wiɗto
news.viewAll;Toutes les actualités;Kabaruuji fow
news.candidacy;Candidature;Cownagol
news.election;Élection;Suɓagol
news.sayDontSay;Dire, Ne pas dire;Haalu, Woto haalu
news.literaryPrizes;Prix littéraires;Njeenaaje binndol
sayDontSay.sectionLabel;La langue Pulaar;Ɗemngal Pulaar
sayDontSay.title;Dire, ;Haalu, 
sayDontSay.titleHighlight;Ne pas dire;Woto haalu
sayDontSay.intro;Quels mots, quelles formes choisir entre ce qu'on entend et ce qu'on dit? Goomu Fulo Wiɗto vous guide dans l'utilisation correcte du Pulaar.;Ɗume kelme, ɗume mbaydi suɓaade, jogaade walla salaade hakkunde ko nanee e ko haalee? Goomu Fulo Wiɗto ndaardata on e huutoraade ɗemngal Pulaar no haaniri.
sayDontSay.discoverSection;Découvrir cette rubrique;Yiytu taƴre ndee
sayDontSay.weSay;On dit;Haalen
sayDontSay.weDontSay;On ne dit pas;Woto haalu
sayDontSay.faultyUsage;Usages fautifs;Kuutorɗe booɗɗe
sayDontSay.anglicisms;Emprunts;Kelme janane
sayDontSay.abusiveExtensions;Extensions abusives;Feertingol bonngol
dictionary.sectionLabel;Dictionnaire Pulaar;Saggitorde Pulaar
dictionary.title;Le ;Nde 
dictionary.titleHighlight;Dictionnaire;Saggitorde
dictionary.intro;Le Dictionnaire de Goomu Fulo Wiɗto est le livre de référence qui définit l'usage du Pulaar. Consultez-le en ligne.;Saggitorde Goomu Fulo Wiɗto ko deftere jogoore nde darnoti huutoraade Pulaar. Yeewtaa e internet.
dictionary.wordsStartingWith;Mots commençant par;Kelme puɗɗortooɗe e
dictionary.similarWords;Mots similaires;Kelme pottiiɗe
dictionary.searchPlaceholder;Rechercher un mot...;Yiylo helmere...
dictionary.editions;Éditions;Weccitaaje
dictionary.wordsDefined;Mots définis;Kelme faamninaaɗe
dictionary.yearsOfWork;Années de travail;Duuɓi golle
dictionary.volumesPublished;Tomes publiés;Tome mbinndaaɗe
dictionary.result;résultat;ko heɓii
dictionary.results;résultats;ɗon heɓii
dictionary.noResults;Aucun résultat;Alaa ko heɓii
dictionary.searchPrompt;Tapez un mot ou sélectionnez une lettre pour commencer;Winndu helmere walla suɓo harfeere ngam fuɗɗorde
dictionary.availableWords;mots disponibles dans le dictionnaire;helme tawaaɗe e saggitorde ndee
dictionary.listenPronunciation;Écouter la prononciation;Heɗo no wiyete
dictionary.listenExample;Écouter l'exemple;Heɗo yeru o
about.title;À propos;Baɗte
about.highlight;Goomu Fulo Wiɗto;Goomu Fulo Wiɗto
about.intro;Goomu Fulo Wiɗto est une institution dédiée à la préservation et la promotion de la langue Pulaar.;Goomu Fulo Wiɗto ko fedde toppitiiɗo reentaade, ɓamtaade e ƴellitaade ɗemngal Pulaar.
about.missionTitle;Notre Mission;Golle Amen
about.mission;Notre mission est de construire un dictionnaire complet de la langue Pulaar et de promouvoir son usage dans l'éducation et les médias.;Golle amen ko mahde saggitorde timmuɗo ɗemngal Pulaar, ɓamtude huutoraade mum e jaŋde e jaayndeeli, e reentaade pinal Fulɓe e ɗemngal maɓɓe.
about.historyTitle;Notre Histoire;Taariik Amen
about.history;Fondée par des experts linguistiques, des écrivains et des passionnés de la culture Pulaar, Goomu Fulo Wiɗto a commencé à répondre au besoin de documenter et de standardiser le Pulaar à l'ère d'internet.;Sosaa e dental ganndooji ɗemngal, winnderɓe e yarlitanɓe pinal Pulaar, Goomu Fulo Wiɗto fuɗɗii ngam jaɓɓaade waɗɗagol binndude e darnaade Pulaar e waktu internet.
about.valuesTitle;Nos Valeurs;Jojjanɗe Amen
about.values.preservation.title;Préservation;Reentaade
about.values.preservation.desc;Préserver et documenter le patrimoine linguistique Pulaar;Reentude e binndude ndonu ɗemngal Pulaar
about.values.education.title;Éducation;Jaŋde
about.values.education.desc;Promouvoir l'enseignement du Pulaar dans les écoles;Ɓamtude janngude Pulaar e duɗe
about.values.innovation.title;Innovation;Kese
about.values.innovation.desc;Utiliser la technologie pour diffuser la langue;Huutoraade karallaaji ngam saakde ɗemngal
about.values.unity.title;Unité;Kawral
about.values.unity.desc;Rassembler les locuteurs Pulaar du monde entier;Renndinde haaltooɓe Pulaar aduna fof
contact.title;Contact;Jokkondiral
contact.subtitle;Contactez-nous;Jokkondiren e amen
contact.infoTitle;Informations;Kumpital
contact.address;Adresse;Ɗo ngonɗen
contact.phone;Téléphone;Telefon
contact.form.name;Nom complet;Innde timmuɗe
contact.form.email;Email;Iimeel
contact.form.subject;Sujet;Toɓɓere
contact.form.message;Message;Message
contact.form.send;Envoyer;Neldu
contact.form.sending;Envoi en cours...;Neldude...
contact.form.success;Message envoyé!;Ɓataake neldaama!
contact.form.error;Une erreur s'est produite. Réessayez.;Juumre waɗii. Fuɗɗito.
contact.form.required;Ce champ est requis;Ɗum waɗɗii
library.title;Nos Livres;Defte Amen
library.intro;Découvrez et téléchargez nos livres en langue Pulaar;Yiytu e aawto defte amen e ɗemngal Pulaar
library.stats.books;Livres;Defte
library.stats.downloads;Téléchargements;Aawtodi
library.filters.label;Filtrer par :;Suɓagol :
library.filters.all;Tous;Fof
library.book.freeDownload;Télécharger Gratuitement;Aawto Mehre
library.book.buyNow;Acheter Maintenant;Sood Jooni
library.book.contactUs;Nous Contacter;Jokkondir e amen
library.book.noBooks;Aucun livre trouvé;Alaa defte tawtaa
library.book.checkBack;Revenez bientôt pour voir les nouveautés!;Wartu jooni ngam yiyde kabaruuji kese !
library.book.categories.roman;Roman;Tinndi
library.book.categories.poesie;Poésie;Jimol
library.book.categories.essai;Essai;Eseey
library.book.categories.histoire;Histoire;Taariik
library.book.categories.linguistique;Linguistique;Ɗemngal
library.book.categories.dictionnaire;Dictionnaire;Saggitorde
library.book.categories.enfants;Livres pour enfants;Defte sukaaɓe
library.book.categories.autre;Autre;Goɗɗum
members.readMore;Lire plus;Janngol goɗɗum
members.readLess;Réduire;Ustu
members.since;Depuis;Gila
members.noMembers;Aucun membre enregistré;Alaa tergal winndaa
footer.description;Goomu Fulo Wiɗto est une institution dédiée à la définition de la langue Pulaar et de son dictionnaire.;Goomu Fulo Wiɗto ko fedde ina toppitii faamninirde ɗemngal Pulaar e saggitorde mum.
footer.institution;L'institution;Fedde ndee
footer.language;La langue;Ɗemngal ngal
footer.services;Services;Balluuji
footer.stayInformed;Restez informé;Heɓu kabaruuji
footer.newsletterText;Recevez les dernières actualités de Goomu Fulo Wiɗto.;Heɓu kabaruuji cakkitiiɗi Goomu Fulo Wiɗto.
footer.emailPlaceholder;Votre email;Iimeel maa
footer.copyright;Goomu Fulo Wiɗto. Tous droits réservés.;Goomu Fulo Wiɗto. Jojjanɗe fow ndaanitaa.
footer.legalNotice;Mentions légales;Baɗte sariya
footer.privacy;Politique de confidentialité;Dawiree cuuɗii
footer.accessibility;Accessibilité;Heɓtineede
admin.sidebar.dashboard;Tableau de bord;Jaagere
admin.sidebar.dictionary;Dictionnaire;Saggitorde
admin.sidebar.members;Membres;Terɗe
